Survey_ID,Site_ID,Survey_Date,Year,Month,Count,Observer,Notes
S0001,SITE01,2018-05-15,2018,5,92,Emma Johnson,Warm sunny day in prairie habitat
S0002,SITE01,2018-06-22,2018,6,110,Emma Johnson,Ideal prairie conditions for butterfly activity
S0003,SITE01,2018-07-18,2018,7,128,David Chen,Excellent prairie summer conditions
S0004,SITE01,2018-08-12,2018,8,87,Maria Rodriguez,Some cloud cover in afternoon
S0005,SITE01,2018-09-05,2018,9,72,Emma Johnson,Cooler than average for September
S0006,SITE02,2018-05-16,2018,5,42,James Wilson,Recent controlled burn in adjacent area
S0007,SITE02,2018-06-22,2018,6,52,David Chen,Evidence of predation observed
S0008,SITE02,2018-07-19,2018,7,56,Maria Rodriguez,Many nectaring on Asclepias tuberosa
S0009,SITE02,2018-08-13,2018,8,48,James Wilson,Heavy morning dew
S0010,SITE02,2018-09-06,2018,9,40,David Chen,Declining activity with cooler temperatures
S0011,SITE03,2018-05-15,2018,5,22,Maria Rodriguez,Site recently affected by trail construction
S0012,SITE03,2018-06-22,2018,6,29,Emma Johnson,Recovery from earlier disturbance evident
S0013,SITE03,2018-07-18,2018,7,30,James Wilson,Still below expected numbers
S0014,SITE03,2018-08-12,2018,8,26,David Chen,Limited habitat utilization observed
S0015,SITE03,2018-09-05,2018,9,20,Maria Rodriguez,Vegetation noticeably stressed
S0016,SITE04,2018-05-17,2018,5,88,David Chen,Excellent habitat conditions
S0017,SITE04,2018-06-24,2018,6,128,James Wilson,Exceptional activity in protected prairie
S0018,SITE04,2018-07-20,2018,7,145,Emma Johnson,Highest count observed in entire study
S0019,SITE04,2018-08-14,2018,8,132,Maria Rodriguez,Abundant mating pairs in ideal prairie habitat
S0020,SITE04,2018-09-07,2018,9,82,James Wilson,Still good numbers late in season
S0021,SITE05,2018-05-16,2018,5,72,Emma Johnson,Moderate counts in wetland edge
S0022,SITE05,2018-06-23,2018,6,82,David Chen,Good butterfly activity near water
S0023,SITE05,2018-07-19,2018,7,87,Maria Rodriguez,Peak summer numbers
S0024,SITE05,2018-08-13,2018,8,78,James Wilson,Stable population
S0025,SITE05,2018-09-06,2018,9,68,Emma Johnson,Good retention into fall
S0026,SITE06,2018-05-17,2018,5,48,David Chen,Good counts in prairie habitat
S0027,SITE06,2018-06-24,2018,6,56,Maria Rodriguez,Good nectar resources
S0028,SITE06,2018-07-20,2018,7,60,James Wilson,Successful breeding season
S0029,SITE06,2018-08-14,2018,8,54,Emma Johnson,Solid late summer population
S0030,SITE06,2018-09-07,2018,9,45,David Chen,Moderate fall numbers
S0031,SITE07,2018-05-15,2018,5,30,Maria Rodriguez,Good early season emergence
S0032,SITE07,2018-06-22,2018,6,34,James Wilson,Healthy prairie population
S0033,SITE07,2018-07-18,2018,7,38,Emma Johnson,Peak summer abundance
S0034,SITE07,2018-08-12,2018,8,35,David Chen,Steady population
S0035,SITE07,2018-09-05,2018,9,28,Maria Rodriguez,Moderately strong fall presence
S0036,SITE08,2018-05-16,2018,5,12,James Wilson,Meadow population impacted by pesticides
S0037,SITE08,2018-06-23,2018,6,15,Emma Johnson,Limited mid-season activity due to pesticides
S0038,SITE08,2018-07-19,2018,7,18,David Chen,Peak remains low due to pesticide pressure
S0039,SITE08,2018-08-13,2018,8,16,Maria Rodriguez,Pesticide impacts evident in population
S0040,SITE08,2018-09-06,2018,9,10,James Wilson,Fall decline accelerated by pesticides
S0041,SITE09,2018-05-17,2018,5,70,Emma Johnson,Stable wetland edge population
S0042,SITE09,2018-06-24,2018,6,82,David Chen,Good conditions for butterflies
S0043,SITE09,2018-07-20,2018,7,86,Maria Rodriguez,Strong mid-summer numbers
S0044,SITE09,2018-08-14,2018,8,80,James Wilson,Stable population
S0045,SITE09,2018-09-06,2018,9,70,Emma Johnson,Good fall retention
S0046,SITE10,2018-05-15,2018,5,45,David Chen,Moderate prairie butterfly activity
S0047,SITE10,2018-06-22,2018,6,58,Maria Rodriguez,Good breeding conditions
S0048,SITE10,2018-07-18,2018,7,62,James Wilson,Peak summer abundance
S0049,SITE10,2018-08-12,2018,8,56,Emma Johnson,Stable late summer
S0050,SITE10,2018-09-05,2018,9,44,David Chen,Average fall numbers
S0051,SITE11,2018-05-16,2018,5,65,Maria Rodriguez,Moderate meadow population
S0052,SITE11,2018-06-23,2018,6,80,James Wilson,Good mid-season counts
S0053,SITE11,2018-07-19,2018,7,85,Emma Johnson,Peak summer activity
S0054,SITE11,2018-08-13,2018,8,78,David Chen,Stable late summer
S0055,SITE11,2018-09-06,2018,9,65,Maria Rodriguez,Moderate fall decline
S0056,SITE12,2018-05-17,2018,5,44,James Wilson,Moderate meadow habitat
S0057,SITE12,2018-06-24,2018,6,56,Emma Johnson,Good nectar resources
S0058,SITE12,2018-07-20,2018,7,59,David Chen,Strong mid-summer numbers
S0059,SITE12,2018-08-14,2018,8,54,Maria Rodriguez,Stable late season
S0060,SITE12,2018-09-07,2018,9,43,James Wilson,Average fall population
S0061,SITE13,2018-05-15,2018,5,14,Emma Johnson,Very low forest edge population
S0062,SITE13,2018-06-22,2018,6,18,David Chen,Poor habitat suitability in forest edge
S0063,SITE13,2018-07-18,2018,7,21,Maria Rodriguez,Forest edge constraints limit numbers
S0064,SITE13,2018-08-12,2018,8,16,James Wilson,Unsuitable forest edge habitat
S0065,SITE13,2018-09-05,2018,9,10,Emma Johnson,Minimal fall retention in forest edge
S0066,SITE14,2018-05-16,2018,5,63,David Chen,Strong wetland edge population
S0067,SITE14,2018-06-23,2018,6,75,Maria Rodriguez,Good nectar resources
S0068,SITE14,2018-07-19,2018,7,78,James Wilson,Healthy mid-summer numbers
S0069,SITE14,2018-08-13,2018,8,72,Emma Johnson,Stable late summer
S0070,SITE14,2018-09-06,2018,9,62,David Chen,Good fall retention
S0071,SITE15,2018-05-17,2018,5,65,Maria Rodriguez,Moderate meadow population
S0072,SITE15,2018-06-24,2018,6,80,James Wilson,Good mid-season increase
S0073,SITE15,2018-07-20,2018,7,85,Emma Johnson,Peak summer activity
S0074,SITE15,2018-08-14,2018,8,77,David Chen,Stable late summer
S0075,SITE15,2018-09-07,2018,9,65,Maria Rodriguez,Average fall decline
S0076,SITE16,2018-05-15,2018,5,20,James Wilson,Low forest edge counts
S0077,SITE16,2018-06-22,2018,6,25,Emma Johnson,Limited suitable habitat
S0078,SITE16,2018-07-18,2018,7,26,David Chen,Peak still below expectations
S0079,SITE16,2018-08-12,2018,8,24,Maria Rodriguez,Limited breeding success
S0080,SITE16,2018-09-05,2018,9,18,James Wilson,Poor fall retention
S0081,SITE17,2018-05-16,2018,5,8,Emma Johnson,Extremely low forest edge population
S0082,SITE17,2018-06-23,2018,6,12,David Chen,Severe host plant limitations in forest
S0083,SITE17,2018-07-19,2018,7,15,Maria Rodriguez,Forest edge habitat fundamentally unsuitable
S0084,SITE17,2018-08-13,2018,8,11,James Wilson,Minimal breeding success in forest edge
S0085,SITE17,2018-09-06,2018,9,6,Emma Johnson,Forest edge nearly devoid of butterflies in fall
S0086,SITE18,2018-05-17,2018,5,52,David Chen,Good meadow population
S0087,SITE18,2018-06-24,2018,6,63,Maria Rodriguez,Strong mid-season increase
S0088,SITE18,2018-07-20,2018,7,65,James Wilson,Summer peak abundance
S0089,SITE18,2018-08-14,2018,8,61,Emma Johnson,Stable late summer
S0090,SITE18,2018-09-07,2018,9,50,David Chen,Moderate fall decline
S0091,SITE19,2018-05-15,2018,5,78,Maria Rodriguez,Strong wetland edge population
S0092,SITE19,2018-06-23,2018,6,90,James Wilson,Excellent habitat conditions
S0093,SITE19,2018-07-19,2018,7,96,Emma Johnson,Strong summer numbers
S0094,SITE19,2018-08-13,2018,8,90,David Chen,Stable late summer
S0095,SITE19,2018-09-06,2018,9,78,Maria Rodriguez,Good fall retention
S0096,SITE20,2018-05-16,2018,5,95,James Wilson,Superior prairie habitat quality
S0097,SITE20,2018-06-24,2018,6,120,Emma Johnson,Prairie with exceptional nectar resources
S0098,SITE20,2018-07-20,2018,7,135,David Chen,Prairie habitat supporting abundant populations
S0099,SITE20,2018-08-14,2018,8,91,Maria Rodriguez,Strong late summer population
S0100,SITE20,2018-09-07,2018,9,79,James Wilson,Excellent fall retention
S0101,SITE01,2019-05-14,2019,5,79,David Chen,Similar conditions to previous year
S0102,SITE01,2019-06-21,2019,6,94,Maria Rodriguez,Excellent breeding conditions
S0103,SITE01,2019-07-17,2019,7,98,James Wilson,Peak summer abundance
S0104,SITE01,2019-08-11,2019,8,90,Emma Johnson,Strong late summer population
S0105,SITE01,2019-09-04,2019,9,77,David Chen,Good fall retention
S0106,SITE02,2019-05-15,2019,5,68,Maria Rodriguez,Favorable early season conditions
S0107,SITE02,2019-06-22,2019,6,83,James Wilson,Excellent nectar availability
S0108,SITE02,2019-07-18,2019,7,89,Emma Johnson,Peak summer activity
S0109,SITE02,2019-08-12,2019,8,81,David Chen,Strong late summer population
S0110,SITE02,2019-09-05,2019,9,66,Maria Rodriguez,Good fall numbers 
S0111,SITE03,2019-05-16,2019,5,20,James Wilson,Continued low forest edge population
S0112,SITE03,2019-06-23,2019,6,26,Emma Johnson,Limited suitable habitat
S0113,SITE03,2019-07-19,2019,7,28,David Chen,Peak summer numbers still poor
S0114,SITE03,2019-08-13,2019,8,24,Maria Rodriguez,Habitat limitations evident
S0115,SITE03,2019-09-06,2019,9,17,James Wilson,Poor fall retention
S0116,SITE04,2019-05-17,2019,5,92,Emma Johnson,Strong early season emergence
S0117,SITE04,2019-06-24,2019,6,135,David Chen,Exceptional prairie breeding conditions
S0118,SITE04,2019-07-20,2019,7,152,Maria Rodriguez,Unprecedented peak summer abundance in prairie
S0119,SITE04,2019-08-14,2019,8,140,James Wilson,Outstanding protected prairie population
S0120,SITE04,2019-09-07,2019,9,88,Emma Johnson,Excellent fall retention
S0121,SITE05,2019-05-14,2019,5,74,David Chen,Consistent wetland population
S0122,SITE05,2019-06-21,2019,6,86,Maria Rodriguez,Good breeding activity
S0123,SITE05,2019-07-17,2019,7,90,James Wilson,Peak summer numbers
S0124,SITE05,2019-08-11,2019,8,82,Emma Johnson,Stable late summer
S0125,SITE05,2019-09-04,2019,9,70,David Chen,Good fall retention
S0126,SITE06,2019-05-15,2019,5,75,Maria Rodriguez,Strong prairie population
S0127,SITE06,2019-06-22,2019,6,87,James Wilson,Excellent breeding conditions
S0128,SITE06,2019-07-18,2019,7,90,Emma Johnson,Peak summer activity
S0129,SITE06,2019-08-12,2019,8,84,David Chen,Strong late summer population
S0130,SITE06,2019-09-05,2019,9,72,Maria Rodriguez,Good fall retention
S0131,SITE07,2019-05-16,2019,5,28,James Wilson,Prairie impacted by pesticides
S0132,SITE07,2019-06-23,2019,6,34,Emma Johnson,Moderate population despite pesticide stress
S0133,SITE07,2019-07-19,2019,7,37,David Chen,Mid-summer population limited by pesticides
